BookID,AuthorID
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,19
21,19
22,19
23,20
24,19
25,19
26,14
27,21
28,22
29,23
30,24
31,25
32,26
33,27
34,28
35,29
36,30
37,31
38,31
39,31
40,32
41,33
42,34
43,35
44,36
45,37
46,31
47,38
48,39
49,40
50,41
51,42
52,43
53,44
54,45
55,46
56,39
57,47
58,48
59,49
60,50
61,51
62,52
63,48
64,53
65,54
66,55
67,56
68,57
69,58
70,59
71,60
72,61
73,62
74,63
75,2
76,64
77,65
78,66
79,31
80,67
81,68
82,69
83,70
84,71
85,72
86,73
87,74
88,75
89,76
90,77
91,77
92,51
93,78
94,79
95,80
96,81
97,82
98,83
99,54
100,37
101,84
102,85
103,86
104,87
105,88
106,89
107,90
108,91
109,92
110,54
111,93
112,94
113,95
114,31
115,96
116,15
117,15
118,97
119,98
120,99
121,100
122,101
123,102
124,103
125,104
126,103
127,105
128,54
129,54
130,106
131,107
132,108
133,109
134,108
135,109
136,110
137,111
138,112
139,113
141,31
142,115
143,116
144,117
145,118
146,119
147,120
148,121
149,122
150,123
151,124
152,125
153,78
154,126
155,127
156,128
157,2
158,129
159,130
160,131
161,132
162,115
163,115
164,133
165,89
166,134
167,135
168,134
169,136
170,50
171,50
172,137
173,122
174,122
175,138
176,37
177,139
178,140
179,122
180,141
181,97
182,142
183,143
184,81
185,132
186,132
187,144
188,145
189,146
190,147
191,148
192,149
193,48
194,150
195,151
196,151
197,122
198,152
199,103
200,153
201,154
202,155
203,156
204,157
205,158
206,159
207,160
208,161
209,162
210,163
211,164
212,165
213,166
214,167
215,84
216,66
217,168
218,52
219,169
220,170
221,171
222,172
223,173
224,174
225,175
226,176
227,177
228,178
229,179
230,180
231,181
232,182
233,183
234,184
235,185
236,186
237,187
238,84
239,188
240,188
241,188
242,189
243,190
244,191
245,116
246,192
247,193
248,194
249,148
250,195
251,196
252,197
253,198
254,199
255,200
256,201
257,202
258,203
259,204
260,205
261,205
262,194
263,206
264,207
265,208
266,209
267,210
268,211
269,212
270,84
271,213
272,214
273,215
274,216
275,217
276,218
277,219
278,179
279,220
280,221
281,222
282,220
283,223
284,224
285,225
286,226
287,227
288,228
289,229
290,230
291,231
292,84
293,232
294,233
295,234
296,235
297,236
298,237
299,237
300,238
301,151
302,239
303,240
304,241
305,242
306,243
307,244
308,245
309,246
310,247
311,248
312,249
313,250
314,251
315,252
316,253
317,254
318,255
319,256
320,257
321,258
322,259
323,260
324,261
325,262
326,263
327,264
328,265
329,266
330,267
331,268
332,269
333,270
335,272
